assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,755,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2025-11-24T20:00:00Z,0,False,9,0,0,0,0,0,12,0,0,0,0,1,0,0.0,0,0,0,0,45,True,0
0,0,0,0,0,0.0,0,755,0.00,0.00,0.00,0.00,124,0,0,0.0,0.0,2025-11-30T12:00:00Z,0,False,8,0,0,0,0,0,13,0,114,0,0,2,1,0.0,0,42,45,3,45,False,0
0,0,0,0,0,0.0,0,755,0.00,0.00,0.00,0.00,138,0,0,0.0,0.0,2025-12-04T20:00:00Z,0,False,19,0,0,0,0,0,14,0,214,0,0,1,1,0.0,0,59,76,17,45,True,0
0,0,0,0,0,0.0,0,755,0.00,0.00,0.00,0.00,150,0,0,0.0,0.0,2025-12-08T20:00:00Z,0,False,20,0,0,0,0,0,15,0,273,0,0,4,1,0.0,0,30,55,25,45,False,0
0,0,0,0,0,0.0,0,755,0.00,0.00,0.00,0.00,157,0,0,0.0,0.0,2025-12-15T20:00:00Z,0,False,4,0,0,0,0,0,16,0,409,0,0,4,4,0.0,0,67,140,73,45,True,0
