assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,0,747,0.00,0.00,0.00,0.00,100,0,0,0.0,0.0,2025-11-02T14:00:00Z,0,False,15,0,0,0,0,0,10,0,0,0,0,1,3,0.0,0,0,0,0,40,True,0
0,0,0,0,0,0.0,0,747,0.00,0.00,0.00,0.00,110,0,0,0.0,0.0,2025-11-08T15:00:00Z,0,False,3,0,0,0,0,0,11,0,579,0,0,2,3,0.0,0,184,208,24,40,True,0
0,0,0,0,0,0.0,0,747,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2025-11-22T15:00:00Z,0,False,4,0,0,0,0,0,12,0,1069,0,0,2,2,0.0,0,95,156,61,40,False,0
0,0,0,0,0,0.0,0,747,0.00,0.00,0.00,0.00,130,0,0,0.0,0.0,2025-11-30T14:05:00Z,0,False,12,0,0,0,0,0,13,0,1309,0,0,2,0,0.0,0,-22,76,98,40,True,0
0,0,0,0,0,0.0,0,747,0.00,0.00,0.00,0.00,138,0,0,0.0,0.0,2025-12-04T20:00:00Z,0,False,14,0,0,0,0,0,14,0,1443,0,0,1,1,0.0,0,2,82,80,40,False,0
0,0,0,0,2,0.0,2,747,0.00,0.00,0.00,0.54,143,1,0,0.2,2.0,2025-12-07T14:00:00Z,7,False,6,0,0,0,0,0,15,0,1702,0,0,1,1,0.0,1,21,103,82,40,False,0
