assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,1,0,0,0.0,0,758,0.00,0.03,0.03,0.38,138,0,0,0.2,0.0,2025-12-04T20:00:00Z,7,False,14,0,0,0,0,0,14,0,0,0,0,1,1,4.0,1,0,0,0,45,False,0
0,0,0,0,0,0.0,0,758,0.00,0.00,0.00,0.00,143,0,0,0.0,0.0,2025-12-07T14:00:00Z,0,False,6,0,0,0,0,0,15,0,158,0,0,1,1,0.0,0,103,109,6,45,False,0
0,0,4,0,0,0.3,3,758,0.00,0.00,0.00,0.09,160,0,0,0.0,0.0,2025-12-14T14:00:00Z,2,False,2,0,0,0,3,0,16,0,370,0,0,3,2,0.0,1,144,204,60,45,True,0
0,0,0,0,0,0.0,0,758,0.00,0.00,0.00,0.00,167,0,0,0.0,0.0,2025-12-20T15:00:00Z,0,False,13,0,0,0,0,0,17,0,747,0,0,0,3,0.0,0,276,364,88,45,False,0
0,0,0,0,0,0.0,0,758,0.00,0.00,0.00,0.00,180,0,0,0.0,0.0,2025-12-27T15:00:00Z,0,False,10,0,0,0,0,0,18,0,881,0,0,1,0,0.0,0,65,164,99,45,True,0
