first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Marcus,Edwards,1,3,45,903,16,248.7,163.4,197.0,2,161,60.7,1,0,0,0.1,47,MID,9.6
Hannibal,Mejbri,1,4,52,981,22,236.8,203.8,88.0,4,215,52.8,2,0,7,0.2,47,MID,11.1
Luca,Koleosho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Josh,Laurent,1,0,50,1576,37,169.8,274.6,102.0,1,214,53.9,2,1,6,0.0,48,MID,10.4
Loum,Tchaouna,1,1,39,846,15,109.8,102.4,118.0,0,133,33.2,2,0,1,0.0,48,MID,8.1
Aaron,Ramsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,44,MID,0.0
Oluwaseun,Adewumi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jaydon,Banel,0,0,1,9,0,0.5,0.0,0.0,0,2,0.0,0,0,0,0.0,45,MID,0.2
Mike,Trésor Ndayishimiye,0,0,4,19,1,0.4,0.6,2.0,0,10,0.3,0,0,0,0.1,43,MID,0.9
Zian,Flemming,8,0,71,1182,22,126.2,347.0,398.0,7,264,86.3,3,0,3,0.4,53,FWD,13.4
Zeki,Amdouni,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,FWD,0.0
Lyle,Foster,3,2,55,1296,27,145.2,213.2,218.0,4,195,57.0,4,0,4,0.8,49,FWD,11.2
Ashley,Barnes,0,0,5,35,3,0.6,0.2,9.0,0,10,1.0,0,0,1,1.4,42,FWD,1.2
Michael,Obafemi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,FWD,0.0
Martin,Dúbravka,0,0,88,2790,61,0.0,846.2,0.0,7,388,84.8,4,0,1,31.3,40,GK,22.0
James,Ward-Prowse,0,1,25,728,17,266.6,136.4,6.0,0,162,40.8,2,0,1,0.2,56,MID,4.5
Lesley,Ugochukwu,3,2,84,1967,44,147.0,368.4,190.0,5,314,70.3,3,1,1,0.1,50,MID,16.8
Armando,Broja,1,1,39,807,25,62.4,96.4,205.0,2,107,36.0,1,0,0,0.2,52,FWD,7.5
Florentino Ibrain,Morris Luís,0,2,66,1651,37,173.2,343.4,44.0,0,286,56.3,2,0,4,0.0,50,MID,13.2
Oliver,Pimlott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
George,Brierley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Kian,McMahon-Brown,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Norberto,Murara Neto,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,0.0
Đorđe,Petrović,0,0,102,2790,48,0.0,703.0,0.0,5,417,70.5,9,0,2,5.2,46,GK,22.2
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,40,GK,0.0
Callan,McKenna,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Alex,Paulsen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,0.0
Illia,Zabarnyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,0.0
